 arcs[76].from = 54, arcs[76].to = 60, arcs[76].capacity = 12, arcs[76].cost = 0, arcs[76].flow = 0, arcs[76].mate = 228, 
 arcs[77].from = 56, arcs[77].to = 77, arcs[77].capacity = 10, arcs[77].cost = 0, arcs[77].flow = 0, arcs[77].mate = 229, 
 arcs[78].from = 56, arcs[78].to = 68, arcs[78].capacity = 20, arcs[78].cost = 0, arcs[78].flow = 0, arcs[78].mate = 230, 
 arcs[79].from = 57, arcs[79].to = 73, arcs[79].capacity = 5, arcs[79].cost = 0, arcs[79].flow = 0, arcs[79].mate = 231, 
 arcs[80].from = 57, arcs[80].to = 64, arcs[80].capacity = 15, arcs[80].cost = 0, arcs[80].flow = 0, arcs[80].mate = 232, 
 arcs[81].from = 57, arcs[81].to = 75, arcs[81].capacity = 5, arcs[81].cost = 0, arcs[81].flow = 0, arcs[81].mate = 233, 
 arcs[82].from = 58, arcs[82].to = 80, arcs[82].capacity = 8, arcs[82].cost = 0, arcs[82].flow = 0, arcs[82].mate = 234, 
 arcs[83].from = 59, arcs[83].to = 65, arcs[83].capacity = 12, arcs[83].cost = 0, arcs[83].flow = 0, arcs[83].mate = 235, 
 arcs[84].from = 61, arcs[84].to = 82, arcs[84].capacity = 10, arcs[84].cost = 0, arcs[84].flow = 0, arcs[84].mate = 236, 
 arcs[85].from = 61, arcs[85].to = 73, arcs[85].capacity = 20, arcs[85].cost = 0, arcs[85].flow = 0, arcs[85].mate = 237, 
 arcs[86].from = 62, arcs[86].to = 78, arcs[86].capacity = 5, arcs[86].cost = 0, arcs[86].flow = 0, arcs[86].mate = 238, 
 arcs[87].from = 62, arcs[87].to = 69, arcs[87].capacity = 15, arcs[87].cost = 0, arcs[87].flow = 0, arcs[87].mate = 239, 
 arcs[88].from = 62, arcs[88].to = 80, arcs[88].capacity = 5, arcs[88].cost = 0, arcs[88].flow = 0, arcs[88].mate = 240, 
 arcs[89].from = 63, arcs[89].to = 85, arcs[89].capacity = 8, arcs[89].cost = 0, arcs[89].flow = 0, arcs[89].mate = 241, 
 arcs[90].from = 64, arcs[90].to = 70, arcs[90].capacity = 12, arcs[90].cost = 0, arcs[90].flow = 0, arcs[90].mate = 242, 
 arcs[91].from = 66, arcs[91].to = 87, arcs[91].capacity = 10, arcs[91].cost = 0, arcs[91].flow = 0, arcs[91].mate = 243, 
 arcs[92].from = 66, arcs[92].to = 78, arcs[92].capacity = 20, arcs[92].cost = 0, arcs[92].flow = 0, arcs[92].mate = 244, 
 arcs[93].from = 67, arcs[93].to = 83, arcs[93].capacity = 5, arcs[93].cost = 0, arcs[93].flow = 0, arcs[93].mate = 245, 
 arcs[94].from = 67, arcs[94].to = 74, arcs[94].capacity = 15, arcs[94].cost = 0, arcs[94].flow = 0, arcs[94].mate = 246, 
 arcs[95].from = 67, arcs[95].to = 85, arcs[95].capacity = 5, arcs[95].cost = 0, arcs[95].flow = 0, arcs[95].mate = 247, 
 arcs[96].from = 68, arcs[96].to = 90, arcs[96].capacity = 8, arcs[96].cost = 0, arcs[96].flow = 0, arcs[96].mate = 248, 
 arcs[97].from = 69, arcs[97].to = 75, arcs[97].capacity = 12, arcs[97].cost = 0, arcs[97].flow = 0, arcs[97].mate = 249, 
 arcs[98].from = 71, arcs[98].to = 92, arcs[98].capacity = 10, arcs[98].cost = 0, arcs[98].flow = 0, arcs[98].mate = 250, 
 arcs[99].from = 71, arcs[99].to = 83, arcs[99].capacity = 20, arcs[99].cost = 0, arcs[99].flow = 0, arcs[99].mate = 251, 
 arcs[100].from = 72, arcs[100].to = 88, arcs[100].capacity = 5, arcs[100].cost = 0, arcs[100].flow = 0, arcs[100].mate = 252, 
 arcs[101].from = 72, arcs[101].to = 79, arcs[101].capacity = 15, arcs[101].cost = 0, arcs[101].flow = 0, arcs[101].mate = 253, 
 arcs[102].from = 72, arcs[102].to = 90, arcs[102].capacity = 5, arcs[102].cost = 0, arcs[102].flow = 0, arcs[102].mate = 254, 
 arcs[103].from = 73, arcs[103].to = 95, arcs[103].capacity = 8, arcs[103].cost = 0, arcs[103].flow = 0, arcs[103].mate = 255, 
 arcs[104].from = 74, arcs[104].to = 80, arcs[104].capacity = 12, arcs[104].cost = 0, arcs[104].flow = 0, arcs[104].mate = 256, 
 arcs[105].from = 76, arcs[105].to = 97, arcs[105].capacity = 10, arcs[105].cost = 0, arcs[105].flow = 0, arcs[105].mate = 257, 
 arcs[106].from = 76, arcs[106].to = 88, arcs[106].capacity = 20, arcs[106].cost = 0, arcs[106].flow = 0, arcs[106].mate = 258, 
 arcs[107].from = 77, arcs[107].to = 93, arcs[107].capacity = 5, arcs[107].cost = 0, arcs[107].flow = 0, arcs[107].mate = 259, 
 arcs[108].from = 77, arcs[108].to = 84, arcs[108].capacity = 15, arcs[108].cost = 0, arcs[108].flow = 0, arcs[108].mate = 260, 
 arcs[109].from = 77, arcs[109].to = 95, arcs[109].capacity = 5, arcs[109].cost = 0, arcs[109].flow = 0, arcs[109].mate = 261, 
 arcs[110].from = 78, arcs[110].to = 100, arcs[110].capacity = 8, arcs[110].cost = 0, arcs[110].flow = 0, arcs[110].mate = 262, 
 arcs[111].from = 79, arcs[111].to = 85, arcs[111].capacity = 12, arcs[111].cost = 0, arcs[111].flow = 0, arcs[111].mate = 263, 
